week,date,player,team,actual,prediction,opening_line,closing_line,line_movement,bet_type,edge,odds,won,profit,clv,used_opening
2,2025-10-25,Wendell Carter Jr.,Orlando Magic,8,8.9143648147583,10.5,10.5,0.0,UNDER,1.5856351852416992,-114.0,True,87.71929824561403,-0.0,True
2,2025-10-25,Tyus Jones,Orlando Magic,0,7.687495708465576,9.5,9.5,0.0,UNDER,1.8125042915344238,-124.0,True,80.64516129032258,-0.0,True
2,2025-10-25,Josh Giddey,Chicago Bulls,21,19.355941772460938,19.5,18.5,-1.0,UNDER,0.1440582275390625,-113.0,False,-100.0,1.0,True
2,2025-10-25,Chet Holmgren,Oklahoma City Thunder,31,14.391685485839844,19.5,18.5,-1.0,UNDER,5.108314514160156,-120.0,False,-100.0,1.0,True
2,2025-10-25,Mouhamed Gueye,Atlanta Hawks,11,5.8163628578186035,,11.5,,UNDER,5.6836371421813965,-110.0,True,90.9090909090909,,False
2,2025-10-25,Kevin Huerter,Chicago Bulls,11,11.015875816345215,11.5,10.5,-1.0,UNDER,0.48412418365478516,-125.0,False,-100.0,1.0,True
2,2025-10-25,Matas Buzelis,Chicago Bulls,3,12.134804725646973,16.5,16.5,0.0,UNDER,4.365195274353027,-112.0,True,89.28571428571429,-0.0,True
2,2025-10-25,Jaylin Williams,Oklahoma City Thunder,7,3.772617816925049,,4.5,,UNDER,0.7273821830749512,-102.0,False,-100.0,,False
2,2025-10-25,Dyson Daniels,Atlanta Hawks,8,11.19351577758789,12.5,13.5,1.0,UNDER,1.3064842224121094,-122.0,True,81.9672131147541,-1.0,True
2,2025-10-25,Tre Mann,Charlotte Hornets,4,11.207052230834961,8.5,8.5,0.0,OVER,2.707052230834961,-104.0,False,-100.0,0.0,True
2,2025-10-25,Anthony Black,Orlando Magic,19,10.696784973144531,9.5,9.5,0.0,OVER,1.1967849731445312,102.0,True,102.0,0.0,True
2,2025-10-25,Miles Bridges,Charlotte Hornets,18,16.427186965942383,17.5,18.5,1.0,UNDER,1.0728130340576172,-101.0,True,99.00990099009901,-1.0,True
2,2025-10-25,Tre Jones,Chicago Bulls,13,9.705403327941895,10.5,10.5,0.0,UNDER,0.7945966720581055,-104.0,False,-100.0,-0.0,True
2,2025-10-25,Kelly Oubre Jr.,Philadelphia 76ers,19,13.867037773132324,12.5,13.5,1.0,OVER,1.3670377731323242,-115.0,True,86.95652173913044,1.0,True
2,2025-10-25,Trae Young,Atlanta Hawks,15,24.710819244384766,24.5,24.5,0.0,OVER,0.21081924438476562,-119.0,False,-100.0,0.0,True
2,2025-10-25,Franz Wagner,Orlando Magic,17,22.372318267822266,23.5,23.5,0.0,UNDER,1.1276817321777344,-124.0,True,80.64516129032258,-0.0,True
2,2025-10-25,Isaac Okoro,Chicago Bulls,0,4.649573802947998,7.5,7.5,0.0,UNDER,2.850426197052002,-130.0,True,76.92307692307693,-0.0,True
2,2025-10-25,Goga Bitadze,Orlando Magic,3,5.705897808074951,,5.5,,OVER,0.20589780807495117,-122.0,False,-100.0,,False
2,2025-10-25,Shai Gilgeous-Alexander,Oklahoma City Thunder,30,31.106149673461914,34.5,33.5,-1.0,UNDER,3.393850326538086,-121.0,True,82.64462809917356,1.0,True
2,2025-10-25,Desmond Bane,Orlando Magic,14,19.473594665527344,19.5,19.5,0.0,UNDER,0.02640533447265625,-104.0,True,96.15384615384616,-0.0,True
2,2025-10-25,Brandon Miller,Charlotte Hornets,4,21.142675399780273,19.5,19.5,0.0,OVER,1.6426753997802734,-121.0,False,-100.0,0.0,True
2,2025-10-25,Adem Bona,Philadelphia 76ers,1,8.8272066116333,5.5,5.5,0.0,OVER,3.327206611633301,-134.0,False,-100.0,0.0,True
2,2025-10-25,Paolo Banchero,Orlando Magic,24,23.18912124633789,26.5,25.5,-1.0,UNDER,3.3108787536621094,-111.0,True,90.09009009009009,1.0,True
2,2025-10-25,Aaron Wiggins,Oklahoma City Thunder,9,14.279755592346191,14.5,13.5,-1.0,UNDER,0.2202444076538086,-110.0,True,90.9090909090909,1.0,True
2,2025-10-25,Luguentz Dort,Oklahoma City Thunder,5,8.61332893371582,11.5,11.5,0.0,UNDER,2.8866710662841797,-117.0,True,85.47008547008546,-0.0,True
2,2025-10-25,Tyrese Maxey,Philadelphia 76ers,28,20.83540916442871,27.5,27.5,0.0,UNDER,6.664590835571289,-117.0,False,-100.0,-0.0,True
2,2025-10-25,Onyeka Okongwu,Atlanta Hawks,11,13.341257095336914,13.5,16.5,3.0,UNDER,0.15874290466308594,-120.0,True,83.33333333333334,-3.0,True
2,2025-10-25,Nickeil Alexander-Walker,Atlanta Hawks,17,12.53341007232666,12.5,15.5,3.0,OVER,0.033410072326660156,-128.0,True,78.125,3.0,True
2,2025-10-25,Joel Embiid,Philadelphia 76ers,20,18.686256408691406,17.5,15.5,-2.0,OVER,1.1862564086914062,-103.0,True,97.0873786407767,-2.0,True
2,2025-10-25,Luke Kennard,Atlanta Hawks,5,5.7613677978515625,8.5,8.5,0.0,UNDER,2.7386322021484375,101.0,True,101.0,-0.0,True
2,2025-10-25,Collin Sexton,Charlotte Hornets,21,13.872098922729492,11.5,11.5,0.0,OVER,2.372098922729492,-108.0,True,92.5925925925926,0.0,True
2,2025-10-25,Quentin Grimes,Philadelphia 76ers,24,19.09255027770996,13.5,13.5,0.0,OVER,5.592550277709961,-122.0,True,81.9672131147541,0.0,True
2,2025-10-25,Jalen Smith,Chicago Bulls,16,4.5043721199035645,6.5,7.5,1.0,UNDER,1.9956278800964355,-110.0,False,-100.0,-1.0,True
2,2025-10-25,Tristan da Silva,Orlando Magic,8,10.594428062438965,8.5,7.5,-1.0,OVER,2.094428062438965,100.0,True,100.0,-1.0,True
2,2025-10-25,Isaiah Hartenstein,Oklahoma City Thunder,14,8.135272026062012,9.5,9.5,0.0,UNDER,1.3647279739379883,103.0,False,-100.0,-0.0,True
2,2025-10-25,Ajay Mitchell,Oklahoma City Thunder,14,11.37409496307373,12.5,12.5,0.0,UNDER,1.1259050369262695,-107.0,False,-100.0,-0.0,True
2,2025-10-25,Ayo Dosunmu,Chicago Bulls,15,9.606439590454102,11.5,11.5,0.0,UNDER,1.8935604095458984,-125.0,False,-100.0,-0.0,True
2,2025-10-25,LaMelo Ball,Charlotte Hornets,27,19.733583450317383,23.5,22.5,-1.0,UNDER,3.766416549682617,-117.0,False,-100.0,1.0,True
2,2025-10-25,Cason Wallace,Oklahoma City Thunder,3,9.105690002441406,10.5,9.5,-1.0,UNDER,1.3943099975585938,-115.0,True,86.95652173913044,1.0,True
2,2025-10-26,Naz Reid,Minnesota Timberwolves,16,8.702032089233398,10.5,12.5,2.0,UNDER,1.7979679107666016,-109.0,False,-100.0,-2.0,True
2,2025-10-26,D'Angelo Russell,Dallas Mavericks,24,4.919097423553467,,6.5,,UNDER,1.5809025764465332,103.0,False,-100.0,,False
2,2025-10-26,De'Andre Hunter,Cleveland Cavaliers,16,10.454191207885742,14.5,15.5,1.0,UNDER,4.045808792114258,-110.0,False,-100.0,-1.0,True
